DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDAT	PDAT		PDAT	dasselbe		Jetzt drohte den Jägern	dasselbe	Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .	es angebunden war , zu zerreißen .Jetzt drohte den Jägern dasselbe Schicksal , das Don Antonio von ihnen bereitet worden war und das ihnen zwei Tage zuvor auf dem Eiland gedroht hatte .« Nach diesen Worten warf sich Pepe	11175	4	ferry_waldlauf_waldlauf.tsv
PDAT	PDAT		PDAT	diese			Diesen	Erscheinungen der Verliebtheit werden wir jetzt eingehendere Aufmerksamkeit zuwenden , in der begründeten Erwartung , an ihnen Verhältnisse zu finden , die sich auf die Bindungen in den Massen übertragen lassen .	des Triebes von seinem Sexualziel entsprechen .Diesen Erscheinungen der Verliebtheit werden wir jetzt eingehendere Aufmerksamkeit zuwenden , in der begründeten Erwartung , an ihnen Verhältnisse zu finden , die sich auf die Bindungen in den Massen übertragen lassen .Wir haben es hier mit Liebestrieben zu	216	0	freud_massen_massen.tsv
PDAT	PDAT		PDAT	diese			Dieses	Kapitel ist gleichsam die Kehrseite des vorigen .	der Autorität des abendländischen Patriarchen vorfanden .Dieses Kapitel ist gleichsam die Kehrseite des vorigen .Die Theologen des Ostens und Westens ,	11073	0	gregorov_stadtrom_stadtrom.tsv
PDAT	PDAT		PDAT	diese		Wir vermieden beide sorgfältig , über	diese	Gegenstände zu sprechen , und beide beurteilten wir uns falsch .	um seine schwache Seite nicht anzutasten .Wir vermieden beide sorgfältig , über diese Gegenstände zu sprechen , und beide beurteilten wir uns falsch .Sobald die Rede auf das Landleben kam	688	6	tolstoi_gluecehe_gluecehe.tsv
PDAT	PDAT		PDAT	diese		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn	diese	Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	68	franklin_frankleb_frankleb.tsv
PDAT	PDAT		PDAT	diese		Wo ging der edle Presendent mit	diese	beiden Glaubensgenossen um !	wie Affen , Bären und Kameeler !Wo ging der edle Presendent mit diese beiden Glaubensgenossen um !» Um Vergebung !	887	6	reuter_braesig_braesig.tsv
PDAT	PDAT		PDAT	diese		« Dann erinnerte ich mich , daß ich jetzt alle	diese	Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	10	defoe_crusoe_crusoe.tsv
PDAT	PDAT		PDAT	diese		In	diesem	ersten Schritt des Dädalus in der Kunst lag etwas Hohes und Göttliches , das die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .	ist , die Sphinx zu töten .In diesem ersten Schritt des Dädalus in der Kunst lag etwas Hohes und Göttliches , das die Verehrung und Bewundrung der Nachwelt auf sich zog und den Namen des Künstlers unsterblich machte , der dennoch seinen Ruhm durch eine grausame und schwarze Tat befleckte .Vom Polynikes , mit dem Kopf auf	1739	1	moritz_goetterl_goetterl.tsv
PDAT	PDAT		PDAT	diese		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut	diesem	Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	72	lorber_rblum1_rblum1.tsv
PDAT	PDAT		PDAT	diese		Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in	diesen	Räumen , statt des anderen , für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	15	ompteda_maria_maria.tsv
