DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	APPR		PTKVZ	an		Seht euch im Louvre das Bild Girodets	an	: Atala portée au tombeau .	ein , Besseres vorbringen zu können .Seht euch im Louvre das Bild Girodets an : Atala portée au tombeau .Es liegt nicht in meiner Absicht ,	452	7	stendhal_aphosten_aphosten.tsv
PTKVZ	APPR		PTKVZ	an		Xaver Was geht das dich	an	?	.Xaver Was geht das dich an ?.	149	5	ruederer_morgenrt_morgenrt.tsv
PTKVZ	PTKVZ		PTKVZ	an		Die Uhr ist sieben ; und um acht Uhr fangen wir	an	... Sie kommen doch heute abend wieder hin ?	« Sie erhob sich .Die Uhr ist sieben ; und um acht Uhr fangen wir an ... Sie kommen doch heute abend wieder hin ?So zärtlich und fein ... und dabei	266	11	wied_bosheit3_bosheit3.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Ihre Lippen krampften sich zusammen , plötzlich richtete sie sich	auf	und riß mich in ihre Arme .	Kann ich den Gepäckschein haben ?Ihre Lippen krampften sich zusammen , plötzlich richtete sie sich auf und riß mich in ihre Arme .› Du bleibst hier , ich gehe	5521	10	weisse_armevers_armevers.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Also passen Sie	auf	, schreiben Sie alles richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste aller dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .	, gerade nach den Zelten zu .Also passen Sie auf , schreiben Sie alles richtig nach : Montag gibt es Speck , Hafergrütze und Kartoffeln , Dienstag : Hafergrütze , Kartoffeln und Speck , Mittwoch : Kartoffeln , Hafergrütze und Speck , Donnerstag : Speck , Kartoffeln und Hafergrütze , Freitag : Hafergrütze , Speck und Kartoffeln , Sonnabend : Kartoffeln , Speck und Hafergrütze , und am Sonntag werden die übriggebliebenen Reste aller dieser verschiedenen Mahlzeiten aufgewärmt , und dazu gibt es präserviertes Rindfleisch .« » Ich ?	3644	3	kraftr_vestali2_vestali2.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Der hellblonde blauäugige Alvarado fiel dem Zornigen Herrn	auf	und wurde durch die Frage ausgezeichnet , ob er Tonatiuh , der Sonnenheld , sei .	das Gold in graue Lavaschlacke verwandelt .Der hellblonde blauäugige Alvarado fiel dem Zornigen Herrn auf und wurde durch die Frage ausgezeichnet , ob er Tonatiuh , der Sonnenheld , sei .So viel Zeit währte es , daß	1443	8	stucken_weissgo2_weissgo2.tsv
PTKVZ	PTKVZ		PTKVZ	aus		« rief der Salami	aus	.	Ich sag' dir dafür gern Vergeltsgott .« rief der Salami aus .Schritte gingen und nun kam 's durch	4513	4	lienert_matthias_matthias.tsv
PTKVZ	PDAT		NE	drohen		» Was liegt denn da mir	dro	?	gleich zu seiner Bäuerin hinausgehen sollte .» Was liegt denn da mir dro ?.	7268	6	thoma_ruepp_ruepp.tsv
PTKVZ	ADV		PTKVZ	her		Ist wohl so ein alter Brauch von den Femgerichten	her	.	ist ja seine unerhört freche Bravour .Ist wohl so ein alter Brauch von den Femgerichten her .In die Kirche !	2593	9	przybysz_satanskd_satanskd.tsv
PTKVZ	PTKVZ		PTKVZ	herbei		Er schleicht sich in der Nacht	herbei	; das ist gewiß .	Erscheinen hier so sehr entzückt bin !Er schleicht sich in der Nacht herbei ; das ist gewiß .Später !	9929	6	may_deuther6_deuther6.tsv
PTKVZ	ADV		ADV	herum		Sonst bin ich noch nicht weit	herum	gekommen .	Luzern , 21. Mai 59 .Sonst bin ich noch nicht weit herum gekommen .Somit , wagen Sie es , Kind	1301	6	wagner_brwesend_brwesend.tsv
PTKVZ	ADV		PTKVZ	hin		Die Uhr ist sieben ; und um acht Uhr fangen wir an ... Sie kommen doch heute abend wieder	hin	?	« Sie erhob sich .Die Uhr ist sieben ; und um acht Uhr fangen wir an ... Sie kommen doch heute abend wieder hin ?So zärtlich und fein ... und dabei	266	19	wied_bosheit3_bosheit3.tsv
