DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ART	ART		ART	d		Zu sterben schien mir ein Genuß ,	Das	Leben war nur Todeskuß .	'n Und sollte mehr geschmackvoll sein .Zu sterben schien mir ein Genuß , Das Leben war nur Todeskuß .Fragte nicht , ob sie glücklich ist	605	7	dauthend_balzer_balzer.tsv
ART	ART		ART	d			Der	Gesandte weigerte sich .	wen Sie das eigentlich geschrieben hätten .Der Gesandte weigerte sich .» Freiherr von Gleichen « : Karl	1364	0	lespinas_briefe_briefe.tsv
ART	ART		ART	d		Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf	das	Sofa .	« » Ach ja , ja !Sobald Rasumichin fortgegangen war , stand Raskolnikow auf , wandte sich zum Fenster , rannte dann bald gegen die eine , bald gegen die andre Wand an , als hätte er die Enge seines Kämmerchens vergessen , … und setzte sich wieder auf das Sofa .Ach , mein Gott !	12991	43	dostojew_schuldsu_schuldsu.tsv
ART	ART		ART	d		Umsonst schleuderte der letzte Papst seine Enzyklika gegen die Stadt vor	den	Toren des heiligen Jerusalem .	steinigen Lande vorwärtsstößt oder zurückkehren heißt ?Umsonst schleuderte der letzte Papst seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .Flucht vor der Notwendigkeit des Klassenkampfes mit	1355	11	holitsch_palaest_palaest.tsv
ART	ART		ART	d		Auf / und wo der nechste Back-Ofen ist / da steckt	den	Betrüger in die volle Glut .	gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	11	weise_masaniel_masaniel.tsv
ART	ART		ART	d		Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor	den	Hag hinaus und schloß hinter ihr das Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	18	ganghofe_martinsk_martinsk.tsv
ART	ART		ART	d		Umsonst schleuderte	der	letzte Papst seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .	steinigen Lande vorwärtsstößt oder zurückkehren heißt ?Umsonst schleuderte der letzte Papst seine Enzyklika gegen die Stadt vor den Toren des heiligen Jerusalem .Flucht vor der Notwendigkeit des Klassenkampfes mit	1355	2	holitsch_palaest_palaest.tsv
ART	ART		ART	d		Sie hatten keinen gelehrten Begriff von	der	Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	6	wieland_abdera_abdera.tsv
ART	ART		ART	d		Aber	der	Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .	an die Bullers und ihren Kater .Aber der Herr am Schalter gab mir mein Inserat zurück und sagte : Wir sind ein seriöses Blatt und nehmen Annoncen perversen Inhalts grundsätzlich nicht an ; was Sie unter blauer Katze verstehen , das wissen wir schon .Mein nächster Nachbar war ein junger Farmer	6	1	auburtin_skizzen_brust.tsv
ART	ART		ART	d		Auf / und wo	der	nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .	gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	4	weise_masaniel_masaniel.tsv
