DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	VVFIN		NE	bibamus		Ergo	bibamus	.	, bildet zu Blüten und Frucht .Ergo bibamus .sie sieht ihr eigen Kind .	4746	1	goethe_gediletz_gediletz.tsv
FM.la	FM		FM	comme		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend	comme	un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	24	baudelai_2gedicht_2gedicht.tsv
FM.la	FM		NE	coupe		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid ,	coupe	et fend comme un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	21	baudelai_2gedicht_2gedicht.tsv
FM.la	NE		FM	dard		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un	dard	.	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	26	baudelai_2gedicht_2gedicht.tsv
FM.la	VVFIN		NE	das		Un mine Muddersprak is	dat	doch ok !	jo noch gornicks tregen , Hinstörp !Un mine Muddersprak is dat doch ok !Reuter Wofür ?	980	4	meyerj_fritzre_fritzre.tsv
FM.la	ADV		KON	doch		Un mine Muddersprak is dat	doch	ok !	jo noch gornicks tregen , Hinstörp !Un mine Muddersprak is dat doch ok !Reuter Wofür ?	980	5	meyerj_fritzre_fritzre.tsv
FM.la	NE		NE	ergo			Ergo	bibamus .	, bildet zu Blüten und Frucht .Ergo bibamus .sie sieht ihr eigen Kind .	4746	0	goethe_gediletz_gediletz.tsv
FM.la	NE		NE	et		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond	et	froid , coupe et fend comme un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	18	baudelai_2gedicht_2gedicht.tsv
FM.la	FM		NE	et		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe	et	fend comme un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	22	baudelai_2gedicht_2gedicht.tsv
FM.la	NE		NE	et		Simulacri , historie	et	figure de la morte .	wo beide mit den Holzschnitten übereinkommen .Simulacri , historie et figure de la morte .Seine Kupferstiche sind wesentlich davon verschieden ,	1883	3	hegner_holbein_holbein.tsv
FM.la	FM		ADJA	fend		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et	fend	comme un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	23	baudelai_2gedicht_2gedicht.tsv
FM.la	FM		ADJA	figure		Simulacri , historie et	figure	de la morte .	wo beide mit den Holzschnitten übereinkommen .Simulacri , historie et figure de la morte .Seine Kupferstiche sind wesentlich davon verschieden ,	1883	4	hegner_holbein_holbein.tsv
FM.la	VVFIN		NE	froid		Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et	froid	, coupe et fend comme un dard .	du foyer et n'ont jamais vécu !Je vois ma femme en esprit ; son regard , Comme le tien , aimable bête , Profond et froid , coupe et fend comme un dard .Si le ciel et la mer sont	1827	19	baudelai_2gedicht_2gedicht.tsv
