DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMPP	VMPP		VMPP	wollen		Laura hatte wohl nur durch das Zimmer	gewollt	, denn der Glanz ihres Auges verrieth nicht , daß sie gelauscht , noch von dem , was hier über sie gesprochen worden , eine Ahnung hatte .	Sache , « fiel Bovillard ein .Laura hatte wohl nur durch das Zimmer gewollt , denn der Glanz ihres Auges verrieth nicht , daß sie gelauscht , noch von dem , was hier über sie gesprochen worden , eine Ahnung hatte .Man glaubt ihn los zu sein ,	3983	7	966-Alexis__Willibald.tsv
VMPP	VVPP		VMPP	wollen		« » Aber , Sihdi , er hat es	gewollt	; er hat es beabsichtigt !	« » Weiter !« » Aber , Sihdi , er hat es gewollt ; er hat es beabsichtigt !« » Aber ihr habt doch heute	9383	9	79321-May__Karl.tsv
VMPP	VMPP		VMPP	wollen		« » Du hast es so	gewollt	!	Wir behalten es also für uns .« » Du hast es so gewollt !« » Das hat er zu uns	2579	6	79321-May__Karl.tsv
VMPP	VMPP		VMPP	wollen		Zwar gefiel ihm die Hast , mit der er das Schloß und alle seine Reizungen , sobald es ihm Zeit zu sein gedünkt , verlassen , da es ihm nicht unbemerkt geblieben war , daß er die Empfindsamkeit des schönen Mädchens so hoch hätte hinaufspielen können , als er nur immer	gewollt	; dennoch konnte er sich nicht des heimlichen Verdachts gegen sich selbst erwehren , der Mangel an den üblichen Staatskleidungsstücken hätte ihn so plötzlich auf und davon getrieben .	verdrüßlichen Reise in die Stadt angekommen .Zwar gefiel ihm die Hast , mit der er das Schloß und alle seine Reizungen , sobald es ihm Zeit zu sein gedünkt , verlassen , da es ihm nicht unbemerkt geblieben war , daß er die Empfindsamkeit des schönen Mädchens so hoch hätte hinaufspielen können , als er nur immer gewollt ; dennoch konnte er sich nicht des heimlichen Verdachts gegen sich selbst erwehren , der Mangel an den üblichen Staatskleidungsstücken hätte ihn so plötzlich auf und davon getrieben .Betty sprang endlich ungeduldig auf , nahm	698	51	96840-Schlegel__Dorothea.tsv
VMPP	VVPP		VMPP	wollen		Da er in seinem Leben Nichts wahrhaft empfunden , Nichts entschieden	gewollt	hatte , und doch von der magnetischen Attraction der Gräfin jahrelang wie ihr Schatten an sie gebannt blieb , so präsumirte er , das werde wol Liebe sein .	wunderbar impassible Temperament seines Vaters geerbt .Da er in seinem Leben Nichts wahrhaft empfunden , Nichts entschieden gewollt hatte , und doch von der magnetischen Attraction der Gräfin jahrelang wie ihr Schatten an sie gebannt blieb , so präsumirte er , das werde wol Liebe sein .« Diese drei Männer waren von sehr	452	11	73678-Lewald__Fanny.tsv
VMPP	VMPP		VMPP	wollen		Auch nicht , denn der Scheik hatte über den Bir Nafad	gewollt	und erst gestern , als wir beschlossen , mit ihm zu gehen , sich für den heutigen , den kürzeren , wenn auch wasserlosen , entschlossen .	O nein !Auch nicht , denn der Scheik hatte über den Bir Nafad gewollt und erst gestern , als wir beschlossen , mit ihm zu gehen , sich für den heutigen , den kürzeren , wenn auch wasserlosen , entschlossen .Der Zufall ?	5308	11	79321-May__Karl.tsv
VMPP	VVPP		VMPP	wollen		Nur heimlich klagten sie wohl einem andern ihr Leid , und zu solchem Vertrauen erwählten sie sich ihren Kostgänger Han .s So rief ihn etwa die Frau in die Küche , briet eine schmackhafte Gänseleber , schob ihm die zu und sprach : » Iß , sie ist mit ungesalzener Butter gebraten « , und erzählte dann von ihrem Leben , daß sie viele Anbeter gehabt habe , die sie zur Frau	gewollt	hätten , aber sie habe nun zu ihrem Unglück diesen Mann genommen ; der sei zwar gut zu ihr und trinke auch nicht , aber er sei träge und schlafe zu viel , und sie könne allein das Wesen nicht halten , so viel Mühe sie sich auch gebe ; dazwischen erzählte sie , daß sie in die Nudeln , mit denen die Gans gestopft wird , buchene Asche nehme , rühmte auch wohl die gebratenen Kartoffeln und erzählte , von welchem Landstück man die Kartoffeln zum Braten nehmen müsse , und von welchem sie als Salzkartoffeln oder in der Schale am besten schmeckten ; und am Ende weinte sie in die blaue Schürze und sagte , wenn sie noch einmal heiraten sollte , was ja Gott verhüten möge , denn ihr Mann sei ja gesund und wohl , aber unmöglich sei doch nichts , so werde sie sich besser in acht nehmen .	den Quartalsterminen wurde ihnen das klar .Nur heimlich klagten sie wohl einem andern ihr Leid , und zu solchem Vertrauen erwählten sie sich ihren Kostgänger Han .s So rief ihn etwa die Frau in die Küche , briet eine schmackhafte Gänseleber , schob ihm die zu und sprach : » Iß , sie ist mit ungesalzener Butter gebraten « , und erzählte dann von ihrem Leben , daß sie viele Anbeter gehabt habe , die sie zur Frau gewollt hätten , aber sie habe nun zu ihrem Unglück diesen Mann genommen ; der sei zwar gut zu ihr und trinke auch nicht , aber er sei träge und schlafe zu viel , und sie könne allein das Wesen nicht halten , so viel Mühe sie sich auch gebe ; dazwischen erzählte sie , daß sie in die Nudeln , mit denen die Gans gestopft wird , buchene Asche nehme , rühmte auch wohl die gebratenen Kartoffeln und erzählte , von welchem Landstück man die Kartoffeln zum Braten nehmen müsse , und von welchem sie als Salzkartoffeln oder in der Schale am besten schmeckten ; und am Ende weinte sie in die blaue Schürze und sagte , wenn sie noch einmal heiraten sollte , was ja Gott verhüten möge , denn ihr Mann sei ja gesund und wohl , aber unmöglich sei doch nichts , so werde sie sich besser in acht nehmen .Dagegen in dem vorliegenden Falle halte nur	611	72	25313-Ernst__Paul.tsv
VMPP	VMPP		VMPP	wollen		Fast scheint es , als ob er der deutschen Rede nicht mächtig gewesen sei , was als wunderbares Resultat einer Erziehung gelten mag , die nur das Deutsche	gewollt	und alles Französische verpönt hatte .	eine längere , wohlausgearbeitete Rede hielt .Fast scheint es , als ob er der deutschen Rede nicht mächtig gewesen sei , was als wunderbares Resultat einer Erziehung gelten mag , die nur das Deutsche gewollt und alles Französische verpönt hatte .Um das Denkmal her gruppierten sich Hunderte	23198	28	26867-Fontane__Theodor.tsv
VMPP	VMPP		VMPP	wollen		Herr Cascabel stellte die weise Betrachtung an , daß er , wenn er seiner Truppe neue Kräfte zuführen	gewollt	hätte , offenbar nur die Qual der Wahl unter den Eingeborenen von Alaska gehabt haben würde .	sich Mörder in der Umgegend befinden .Herr Cascabel stellte die weise Betrachtung an , daß er , wenn er seiner Truppe neue Kräfte zuführen gewollt hätte , offenbar nur die Qual der Wahl unter den Eingeborenen von Alaska gehabt haben würde .» Wir können ja sowieso nicht schlafen	1393	18	107522-Verne__Jules.tsv
VMPP	VVFIN		VMPP	wollen		« » Und weiter hätten Sie nichts	gewollt	?	; » ich bin es wirklich .« » Und weiter hätten Sie nichts gewollt ?Sie sind ja der Vertraute meines Vaters	2719	7	99025-Spielhagen__Friedrich.tsv
