DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSAT	PPOSAT		PPOSAT	ihr			Ihre	Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	0	seidelh_lindenbm_lindenbm.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Nebenbei freilich blieb es nicht aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und	ihren	Kindergeberden eine seltsam possirliche Würde lieh .	sprach Photinissa kurz mit ruhiger Ueberzeugung .Nebenbei freilich blieb es nicht aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .Folget mir !	442	28	hoffmaha_phaeaken_phaeaken.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch	ihren	Bruder zu mir hinaufschießen lassen .	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	23	seidelh_lindenbm_lindenbm.tsv
PPOSAT	NE		PPOSAT	mein			Mein	Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	0	casanova_band06_casa6.tsv
PPOSAT	PPOSAT		PPOSAT	mein		Eines Abends drang Pauline in	mein	Zimmer ein .	, wie sie die Felsen höhlten .Eines Abends drang Pauline in mein Zimmer ein .Ich folgte dem Beispiel der Einsiedler aus	1693	5	balzac_chagrinl_chagrinl.tsv
PPOSAT	PPOSAT		PPOSAT	mein		– » Guten Tag ,	mein	lieber Herr Kaschel !	einen Krug dünnes Bier und Butterschnitten .– » Guten Tag , mein lieber Herr Kaschel !Die Bäuerin kam vom Gute her ,	7109	5	polenz_buettner_buettner.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Er könne die Mittel übrigens ohne	meine	Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	6	dickens_chuzzlew_chuzzlew.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm	meinen	Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	23	raabe_lar_lar.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet	meiner	freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .	ist nicht Liebe Alles , Alles ?Mama war an der Landestelle Euch entgegengekommen , zu Hause dampfte schon der Tee , mein Platz war leer , aber Ihr gedachtet meiner freundlich und erzähltet , was Ihr in Hamburg gesehen und erlebt .O Du Einziger , Du Seligkeit für	3367	23	antholog_liebesbr_liebesbr.tsv
PPOSAT	PPOSAT		PPOSAT	meine		Sein Fleisch ging nicht aus dem Mann und Weib hervor , sondern wunderbarerweise in	meiner	Glut aus der lieblichsten Jungfrau .	, welche ein kostbares Salböl ist .Sein Fleisch ging nicht aus dem Mann und Weib hervor , sondern wunderbarerweise in meiner Glut aus der lieblichsten Jungfrau .Unter dem Salböl erhellt , daß mein	375	14	hildegar_wegwelt_wegwelt.tsv
