DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRF	PPER		PPER	mich		Wer hat	mich	darauf hingewiesen , die Herstellung künstlicher Diamanten zu versuchen ?	fuhr Cyprien fort .Wer hat mich darauf hingewiesen , die Herstellung künstlicher Diamanten zu versuchen ?» Ihnen , nur Ihnen , Fräulein	1176	2	107513-Verne__Jules.tsv
PRF	PRF		PRF	sich		Als nun der Xanthius sich wollen umsehen / und seinen Leib dem Feind bloß zugewant / hat der Melanthus dieser Gelegenheit	sich	gebrauchet / und ihn unversehens durchstochen .	Herr Mitternacht auß dem Suida erzehlet .Als nun der Xanthius sich wollen umsehen / und seinen Leib dem Feind bloß zugewant / hat der Melanthus dieser Gelegenheit sich gebrauchet / und ihn unversehens durchstochen .Solcher aber seiner Errettung solte ihm dieses	964	21	85699-Praetorius__Johannes.tsv
PRF	PRF		PRF	sich		1 Mein Vater konnte	sich	nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	4	99260-Sterne__Laurence.tsv
PRF	PRF		PRF	sich		1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet	sich	in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	19	99260-Sterne__Laurence.tsv
PRF	PRF		PRF	sich		‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß	sich	meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte nicht anders , als › Ritter Urian trete auf ‹ .	ein Mensch durch Leichtsinn kommen könne .‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß sich meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte nicht anders , als › Ritter Urian trete auf ‹ .Er trete mir Luisen ab , ich	664	17	58301-Hauff__Wilhelm.tsv
PRF	PRF		PRF	sich		« Sie schien es wieder nur zu	sich	selber zu sagen .	Plötzlich stand sie auf ihren Füßen .« Sie schien es wieder nur zu sich selber zu sagen .« Sie hauchte es leise vor sich	976	7	63622-Hofmannsthal__Hugo_von.tsv
PRF	PRF		PRF	sich		Bei Tafel forderte er die Frauenzimmer auf , daß sie	sich	wünschen sollten , was sie nur möchten .	antwortete : » Wie der Wind .Bei Tafel forderte er die Frauenzimmer auf , daß sie sich wünschen sollten , was sie nur möchten .Faustus sagte : » Geh wieder hin	69	10	86834-Pr_hle__Heinrich.tsv
PRF	PRF		PRF	sich		Wie wird	sich	nun ein Poet in gleichem Falle ausdrücken ?	es vollends seiner noch übrigen Einwohner .Wie wird sich nun ein Poet in gleichem Falle ausdrücken ?Auch das war es noch nicht alles	929	2	48521-Gottsched__Johann_Christoph.tsv
PRF	PRF		PRF	sich		Südwärts geht er durch Felder , hat dort besonders schöne Apfelbäume an seinen Seiten , wölbt	sich	sanft über einen Ackerrücken und gewährt von ihm eine schöne Aussicht in die Gebirge .	einrichten wollte , die nötige Abwechslung .Südwärts geht er durch Felder , hat dort besonders schöne Apfelbäume an seinen Seiten , wölbt sich sanft über einen Ackerrücken und gewährt von ihm eine schöne Aussicht in die Gebirge .Da man die Obstbäume an ihre Stelle	4517	16	99434-Stifter__Adalbert.tsv
PRF	PRF		PRF	sich		« Hierauf setzte sie	sich	in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte sich eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder zu spinnen begann .	« erwiderte ich bebend .« Hierauf setzte sie sich in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte sich eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder zu spinnen begann .« » Ja !	1994	4	18351-Christ__Lena.tsv
PRF	PRF		PRF	sich		« Hierauf setzte sie sich in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte	sich	eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder zu spinnen begann .	« erwiderte ich bebend .« Hierauf setzte sie sich in den Sorgenstuhl hinter dem bläulichen Kachelofen , steckte sich eine große Hornbrille auf die Hakennase und las schweigend in einem alten , dicken Buch , während das Mädchen wieder zu spinnen begann .« » Ja !	1994	14	18351-Christ__Lena.tsv
PRF	PRF		PRF	sich		Was nicht einzelnes Atom ist das um	sich	selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	7	56347-Gundolf__Friedrich.tsv
PRF	PRF		PRF	sich		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in	sich	gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	16	56347-Gundolf__Friedrich.tsv
PRF	PRF		PRF	sich		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen	sich	ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	34	56347-Gundolf__Friedrich.tsv
PRF	PRF		PRF	sich		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr	sich	eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	67	56347-Gundolf__Friedrich.tsv
PRF	PRF		PRF	sich		Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei ,	sich	die Königin des Sudans zu betrachten , die sich jetzt in den Händen der Tuaregs von Laganet befindet .	die Messungen keinen schätzenswerthen Unterschied ergaben .Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei , sich die Königin des Sudans zu betrachten , die sich jetzt in den Händen der Tuaregs von Laganet befindet .Welches Wunder !	2995	23	107516-Verne__Jules.tsv
PRF	PRF		PRF	sich		Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei , sich die Königin des Sudans zu betrachten , die	sich	jetzt in den Händen der Tuaregs von Laganet befindet .	die Messungen keinen schätzenswerthen Unterschied ergaben .Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei , sich die Königin des Sudans zu betrachten , die sich jetzt in den Händen der Tuaregs von Laganet befindet .Welches Wunder !	2995	32	107516-Verne__Jules.tsv
PRF	PRF		PRF	sich		Es fügt	sich	, das der Apt starb und der Convent erwölt zwen andere , und satzten sie dar .	erwölt und ußschůb zu einem Apt .Es fügt sich , das der Apt starb und der Convent erwölt zwen andere , und satzten sie dar .‹ Da lacht jederman , und het	789	2	84231-Pauli__Johannes.tsv
PRF	PRF		PRF	sich		Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr als	sich	geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie nicht långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .	sich bei diesem seinem schwager aufhielte .Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr als sich geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie nicht långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .Diesem nun fürzukommen / brachte sie die	24359	15	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
